question_id,question,answer,passage,passage_id,rag_summary,FK_grade
0,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden?,Control subjects were not validated for absence of HS and comorbidity validation was not performed for either group.,Hidradenitis suppurativa (HS) is a chronic inflammatory disease involving intertriginous skin. Previous epidemiologic studies have been limited by small sample size. We sought to describe the prevalence and comorbidities of HS in a large patient care database.,0,HS is a chronic inflammatory disease involving intertriginous skin.,16.764444444444447
1,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI?,"In patients with STEMI who undergo FT, admission hyperglycemia is an independent predictor of the failure of fibrinolysis.","Hyperglycemia on admission is associated with increased mortality rates in patients with ST-elevation myocardial infarction (STEMI) who are treated with either fibrinolytic therapy (FT) or primary percutaneous coronary intervention (PCI). However, data regarding the relationship between hyperglycemia and the success of FT are lacking. The aim of this study was to investigate the value of admission blood glucose for the prediction of failed reperfusion following FT.",3,Admission hyperglycemia is an independent predictor of failed reperfusion following fibrinolytic therapy in patients with STEMI.,17.937500000000004
2,Is osteoprotegerin associated with subclinical left ventricular systolic dysfunction in diabetic hypertensive patients?,Plasma OPG values could predict subclinical LV systolic dysfunction in diabetic hypertensive patients.,"Recently, the role of osteoprotegerin (OPG) in the pathogenesis of heart failure through different mechanisms has received much attention. Subclinical changes in left ventricular (LV) function can be identified using quantification of myocardial strain, and global longitudinal strain (GLS) is a superior predictor of outcomes than ejection fraction. We hypothesized that increased OPG levels could predict subclinical LV systolic dysfunction in treated diabetic hypertensive patients with preserved LV ejection fraction.",6,Increased OPG levels predict subclinical LV systolic dysfunction in diabetic hypertensive patients,16.62333333333334
3,Does mild cognitive dysfunction affect diabetes mellitus control in minority elderly adults?,"Cognitive dysfunction in the mild range did not seem to affect diabetes mellitus control parameters in this multiethnic cohort of older adults with diabetes mellitus, although it cannot be excluded that cognitive impairment was overcome through assistance from formal or informal caregivers. It is possible that more-severe cognitive dysfunction could affect control.","To determine whether older adults with type 2 diabetes mellitus and cognitive dysfunction have poorer metabolic control of glycosylated hemoglobin, systolic blood pressure, and low-density lipoprotein cholesterol than those without cognitive dysfunction. Prospective cohort study. A minority cohort in New York City previously recruited for a trial of telemedicine.",10,Our objective was to elucidate whether DM is associated with worse cognitive performance in both populations. It remains unknown whether the association between DM and cognitive function differs in Eastern and Western populations.,15.160151515151515
4,Is fasting serum dipeptidyl peptidase-4 activity independently associated with alanine aminotransferase in type 1 diabetic patients?,Fasting serum DPP4 activity might be associated with hepatic IR in T1DM patients and a part of soluble DPP4 activity might be of a hepatic origin. Further study investigation is warranted to elucidate this topic.,"Dipeptidyl peptidase-4 (DPP4) was recently proposed as a novel adipokine linked to insulin resistance (IR). As IR represents a cluster of disorders in hepatic and muscle cell insulin signalisation, we aimed to assess the possible correlation between fasting serum DPP4 activity, IR and liver enzymes in order to elucidate the question of hepatic contribution to serum DPP4 activity. This cross-sectional study comprised 44 T1DM patients aged 18 to 65years.",13,Fasting serum DPP4 activity is independently associated with alanine aminotransferase in type 1 diabetic patients.,18.580000000000002
5,"Is initial combination therapy with metformin, pioglitazone and exenatide more effective than sequential add-on therapy in subjects with new-onset diabetes . Results from the Efficacy and Durability of Initial Combination Therapy for Type 2 Diabetes ( EDICT )?","The results of this exploratory study show that combination therapy with metformin/pioglitazone/exenatide in patients with newly diagnosed T2DM is more effective and results in fewer hypoglycaemic events than sequential add-on therapy with metformin, sulfonylurea and then basal insulin.","To test our hypothesis that initiating therapy with a combination of agents known to improve insulin secretion and insulin sensitivity in subjects with new-onset diabetes would produce greater, more durable reduction in glycated haemoglobin (HbA1c) levels, while avoiding hypoglycaemia and weight gain, compared with sequential addition of agents that lower plasma glucose but do not correct established pathophysiological abnormalities. Drug-naïve, recently diagnosed subjects with type 2 diabetes mellitus (T2DM) were randomized in an open-fashion design in a single-centre study to metformin/pioglitazone/exenatide (triple therapy; n = 106) or an escalating dose of metformin followed by sequential addition of sulfonylurea and glargine insulin (conventional therapy; n = 115) to maintain HbA1c levels at <6.5% for 2 years. Participants receiving triple therapy experienced a significantly greater reduction in HbA1c level than those receiving conventional therapy (5.95 vs. 6.50%; p < 0.001).",16,"Combination therapy with metformin, pioglitazone and exenatide is more effective than sequential add-on therapy in patients with T2DM.",15.685555555555556
6,Are elevated beta2-glycoprotein I-low-density lipoprotein levels associated with the presence of diabetic microvascular complications?,Elevated serum β2-GPI-LDL levels may be a serological hallmark of enhanced LDL oxidation in vivo and closely associated with the presence of diabetic microvascular complications.,"To investigate serum beta2-glycoprotein I-low-density lipoprotein (β2-GPI-LDL) and oxidized low-density lipoprotein (ox-LDL) levels in type 2 diabetes mellitus (T2DM) patients, and to further evaluate the associations of β2-GPI-LDL with ox-LDL in vivo and with the presence of diabetic microvascular complications. We determined β2-GPI-LDL, ox-LDL and small dense low density lipoprotein cholesterol (sdLDL-C) levels in 236 T2DM patients with or without microvascular complications and 75 controls. The correlation analyses, multiple linear regression analyses and logistic regression analyses were performed, respectively.",18,Elevated serum beta2-glycoprotein I-low-density lipoprotein and oxidized low-density lipoprotein levels are associated with the presence of diabetic microvascular complications.,27.220000000000002
7,Does early menarche increase the risk of Type 2 diabetes in young and middle-aged Korean women?,Early menarche increased the risk of Type 2 diabetes in young and middle-aged Korean women although adulthood adiposity attenuated the relationship. Knowledge of age at menarche is important in identifying women at risk for diabetes.,To investigate the association between early menarche (menarche age < 12 years) and Type 2 diabetes mellitus in young and middle-aged Korean women. We analysed data for 4657 women aged 20-50 years from the Fourth Korea National Health and Nutrition Examination Survey (KNHANES IV) (2007-2009). The prevalence of Type 2 diabetes was 2.8%.,21,Early menarche increases the risk of Type 2 diabetes in young and middle-aged Korean women.,10.713333333333338
8,Does light alcohol consumption play a protective role against non-alcoholic fatty liver disease in Japanese men with metabolic syndrome?,"The prevalence of NAFLD in light drinkers was significantly lower than in non-drinkers, and supporting previous reports studying the general population, LAC is one of the significant predictors of a decreased prevalence of NAFLD in men with MS.","Although excess alcohol consumption has been believed to cause liver injury, light alcohol consumption (LAC) has been reported to play a protective role against fatty liver in recent studies. However, the association between non-alcoholic fatty liver disease (NAFLD) and LAC in men with metabolic syndrome (MS) is unclear. The aim of this study was to examine the association between NAFLD and LAC in men with MS.",24,Light alcohol consumption plays a protective role against non-alcoholic fatty liver disease in Japanese men with metabolic syndrome,16.34111111111111
9,Is soft drink consumption associated with depressive symptoms among adults in China?,"This is a cross-sectional study, causal relation remains unknown.","Research evidence supports a positive link between soft drinks and depressive symptoms. However, data thus far are only from Caucasian populations. We investigated whether high levels of consumption of soft drinks were associated with the depressive symptoms among adults in China.",27,High levels of consumption of soft drinks are associated with the depressive symptoms among adults in China.,11.863529411764706
